S. No,user_id,offer_id,status,started_at,completed_at,expires_at,,,,,
85,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3462,ONGOING,2022-11-26 00:35:28.458580+00:00,,2022-11-28 00:35:28.463521+00:00,,,,,
86,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3340,ONGOING,2022-11-26 00:35:22.001097+00:00,,2022-11-28 00:35:22.007573+00:00,,,,,
87,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3510,ONGOING,2022-11-26 00:35:32.051335+00:00,,2022-11-28 00:35:32.056063+00:00,,,,,
88,047ef59d-4331-48b7-9bfb-f6fa23101a4f,792,ONGOING,2022-11-26 00:35:38.712710+00:00,,2022-11-28 00:35:38.717094+00:00,,,,,
89,aea58daf-f2e4-4f26-a32d-ef523795c7ec,3399,ONGOING,2022-11-26 11:07:10.701922+00:00,,2022-11-28 11:07:10.705555+00:00,,,,,
90,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3498,ONGOING,2022-11-26 00:35:41.447484+00:00,,2022-11-28 00:35:41.453323+00:00,,,,,
91,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3515,ONGOING,2022-11-26 00:35:44.960253+00:00,,2022-11-28 00:35:44.964572+00:00,,,,,
92,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3517,ONGOING,2022-11-26 00:35:48.553703+00:00,,2022-11-28 00:35:48.561982+00:00,,,,,
93,9dfb189d-e520-4043-be66-a428e0c56602,3340,ONGOING,2022-11-26 00:35:49.041656+00:00,,2022-11-28 00:35:49.049403+00:00,,,,,
94,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3173,ONGOING,2022-11-26 00:35:55.233712+00:00,,2022-11-28 00:35:55.238050+00:00,,,,,
95,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3015,ONGOING,2022-11-26 00:35:58.699114+00:00,,2022-11-28 00:35:58.707652+00:00,,,,,
96,5b54a20e-a231-4879-94d8-076f90d73ca7,3513,ONGOING,2022-11-26 02:20:33.298742+00:00,,2022-11-28 02:20:33.303185+00:00,,,,,
97,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3183,ONGOING,2022-11-26 00:36:08.231969+00:00,,2022-11-28 00:36:08.241397+00:00,,,,,
98,047ef59d-4331-48b7-9bfb-f6fa23101a4f,2415,ONGOING,2022-11-26 00:36:11.551829+00:00,,2022-11-28 00:36:11.558240+00:00,,,,,
99,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3477,ONGOING,2022-11-26 00:36:33.931036+00:00,,2022-11-28 00:36:33.935262+00:00,,,,,
100,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3503,COMPLETED,2022-11-26 00:36:37.734056+00:00,2022-11-26 01:01:24.529305+00:00,,,,,,
101,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3507,ONGOING,2022-11-26 00:36:17.940568+00:00,,2022-11-28 00:36:17.944849+00:00,,,,,
102,047ef59d-4331-48b7-9bfb-f6fa23101a4f,1024,ONGOING,2022-11-26 00:36:14.771308+00:00,,2022-11-28 00:36:14.776233+00:00,,,,,
103,44f9c9f1-1ce1-4b04-8042-ddb1c548c589,3173,ONGOING,2022-11-26 00:36:24.077758+00:00,,2022-11-28 00:36:24.081898+00:00,,,,,
104,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3237,ONGOING,2022-11-26 00:36:26.563311+00:00,,2022-11-28 00:36:26.568447+00:00,,,,,
105,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3529,ONGOING,2022-11-26 00:36:29.793612+00:00,,2022-11-28 00:36:29.797959+00:00,,,,,
106,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3321,ONGOING,2022-11-26 00:36:22.760079+00:00,,2022-11-28 00:36:22.768709+00:00,,,,,
107,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3520,ONGOING,2022-11-26 00:36:40.301774+00:00,,2022-11-28 00:36:40.306401+00:00,,,,,
108,2ac81b5c-b167-4aaa-876f-b33e32c98630,3227,ONGOING,2022-11-26 00:36:45.802875+00:00,,2022-11-28 00:36:45.806229+00:00,,,,,
109,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3463,ONGOING,2022-11-26 00:36:52.063330+00:00,,2022-11-28 00:36:52.067791+00:00,,,,,
110,39b085c1-1e08-4d4e-ae85-04c40647c989,3237,ONGOING,2022-11-26 00:37:15.625154+00:00,,2022-11-28 00:37:15.630374+00:00,,,,,
111,39b085c1-1e08-4d4e-ae85-04c40647c989,3480,COMPLETED,2022-11-26 00:37:39.900898+00:00,2022-11-26 00:38:26.445672+00:00,,,,,,
112,39b085c1-1e08-4d4e-ae85-04c40647c989,3507,ONGOING,2022-11-26 00:37:21.165261+00:00,,2022-11-28 00:37:21.169205+00:00,,,,,
113,5baab7e2-f5ad-4f9d-b749-9d8e9bee9d2d,3510,ONGOING,2022-11-26 13:51:21.099681+00:00,,2022-11-28 13:51:21.104071+00:00,,,,,
114,35e5d136-60f4-4f3e-a2da-634933ae139f,3340,ONGOING,2022-11-26 00:38:39.970835+00:00,,2022-11-28 00:38:39.976348+00:00,,,,,
115,b0afbb84-753c-4e3b-a461-254c04a0062e,3512,ONGOING,2022-11-26 00:39:02.608368+00:00,,2022-11-28 00:39:02.613546+00:00,,,,,
116,50e66bc8-76c3-41df-87cc-fdda8ed58333,3173,ONGOING,2022-11-26 00:39:02.244524+00:00,,2022-11-28 00:39:02.257858+00:00,,,,,
117,55e70808-0ed9-44fd-9d87-819ba9dc4d3e,3173,ONGOING,2022-11-26 05:12:34.893438+00:00,,2022-11-28 05:12:34.898978+00:00,,,,,
118,c51167f6-ff5c-49a8-ae3a-ba5d0c2cccaf,210,ONGOING,2022-11-26 00:40:18.923975+00:00,,2022-11-28 00:40:18.929098+00:00,,,,,
119,30867418-1a42-44eb-966a-a6b3255b8411,3462,ONGOING,2022-11-26 00:40:27.637627+00:00,,2022-11-28 00:40:27.642495+00:00,,,,,
120,0bdf2e4e-c610-4196-b8be-f08e24e97058,3340,ONGOING,2022-11-26 00:40:30.078861+00:00,,2022-11-28 00:40:30.083331+00:00,,,,,
121,39b085c1-1e08-4d4e-ae85-04c40647c989,3510,COMPLETED,2022-11-26 00:40:14.499979+00:00,2022-11-26 01:06:59.578737+00:00,,,,,,
122,dd3eeb44-eb7a-4453-a6ca-c69a32e41bf2,3321,ONGOING,2022-11-26 00:40:35.659142+00:00,,2022-11-28 00:40:35.664704+00:00,,,,,
123,3a238be4-6cc0-4d68-8912-5fb002611dc5,3340,ONGOING,2022-11-26 00:40:40.607483+00:00,,2022-11-28 00:40:40.613459+00:00,,,,,
124,c51167f6-ff5c-49a8-ae3a-ba5d0c2cccaf,3340,ONGOING,2022-11-26 00:40:43.015194+00:00,,2022-11-28 00:40:43.023353+00:00,,,,,
125,2ac81b5c-b167-4aaa-876f-b33e32c98630,3513,ONGOING,2022-11-26 00:41:54.089065+00:00,,2022-11-28 00:41:54.094240+00:00,,,,,
126,24d52554-971f-49a6-8d83-4e270eb44818,210,ONGOING,2022-11-26 00:41:08.924737+00:00,,2022-11-28 00:41:08.931369+00:00,,,,,
127,4960fecc-a53a-4d08-99e6-5ef807d9f270,3463,COMPLETED,2022-11-26 00:41:12.501542+00:00,2022-11-26 00:42:13.326992+00:00,,,,,,
128,39b085c1-1e08-4d4e-ae85-04c40647c989,3517,COMPLETED,2022-11-26 00:42:07.823787+00:00,2022-11-26 00:46:45.033636+00:00,,,,,,
129,ae5096d9-fa15-443d-9f30-c9a46abf4359,3451,ONGOING,2022-11-26 00:42:09.033515+00:00,,2022-11-28 00:42:09.043603+00:00,,,,,
130,5b54a20e-a231-4879-94d8-076f90d73ca7,792,ONGOING,2022-11-26 00:42:32.131774+00:00,,2022-11-28 00:42:32.136375+00:00,,,,,
131,ae5096d9-fa15-443d-9f30-c9a46abf4359,3463,COMPLETED,2022-11-26 00:42:22.547458+00:00,2022-11-26 00:43:23.495461+00:00,,,,,,
132,112f1ddb-58d2-4a02-a69d-e6905e9dad27,3340,ONGOING,2022-11-26 00:42:34.087742+00:00,,2022-11-28 00:42:34.091859+00:00,,,,,
133,bf6bc6ad-bdf0-4827-a08a-a2cbadcc5108,3441,ONGOING,2022-11-26 00:44:07.325709+00:00,,2022-11-28 00:44:07.330279+00:00,,,,,
134,ec82a57d-6d07-421c-a7a9-c3a2c47b9a0d,3340,ONGOING,2022-11-26 00:43:09.663362+00:00,,2022-11-28 00:43:09.668028+00:00,,,,,
135,3db62aad-421b-474e-9b1e-8a88ff370d4f,3529,ONGOING,2022-11-26 00:43:34.009776+00:00,,2022-11-27 18:29:59+00:00,,,,,
136,ae5096d9-fa15-443d-9f30-c9a46abf4359,3529,ONGOING,2022-11-26 00:43:59.315771+00:00,,2022-11-28 00:43:59.319739+00:00,,,,,
137,50e66bc8-76c3-41df-87cc-fdda8ed58333,2328,ONGOING,2022-11-26 00:43:53.685570+00:00,,2022-11-28 00:43:53.690221+00:00,,,,,
138,ae5096d9-fa15-443d-9f30-c9a46abf4359,3512,ONGOING,2022-11-26 00:44:06.360852+00:00,,2022-11-28 00:44:06.365826+00:00,,,,,
139,4960fecc-a53a-4d08-99e6-5ef807d9f270,3512,ONGOING,2022-11-26 00:44:12.923948+00:00,,2022-11-28 00:44:12.928158+00:00,,,,,
140,35e5d136-60f4-4f3e-a2da-634933ae139f,3498,ONGOING,2022-11-26 00:44:57.182791+00:00,,2022-11-28 00:44:57.187121+00:00,,,,,
141,4960fecc-a53a-4d08-99e6-5ef807d9f270,3534,ONGOING,2022-11-26 06:09:22.775491+00:00,,2022-11-28 06:09:22.779262+00:00,,,,,
